,strain
1266,Burning Desire
1267,Cadillac Cookies
1268,Cali Dragon
1269,KT Dawg
1270,Candy Apple
1271,Chardonnay
1272,Caramel Cake
1273,Cheese Dawg
1274,Chem Berry Diesel
1275,Skunk+
1276,Sky Lotus
1277,Sky Master
1278,Cherry Fuel
1279,Slice of Heaven
1280,Sidetracked
1281,Super Chronic
1282,Concord Cream
1283,Comfortably Dumb
1284,Cherry Moon Pie
1285,Snow Goddess
1286,Mandala #1
1287,Cookies and Cream Cheese
1288,Cookies Haze
1289,Lennon
1290,Silver Calyx
1291,Cougar Milk
1292,Pine Cone
1293,Popcorn Kush
1294,Red Diesel
1295,Raskal OG
1296,Wonka's Bubblicious
1297,Coyote Art
1298,Critical Purple Kush
1299,Critical Soma
1300,Sour Chunk
1301,Coconut Oil
1302,Sorcerer's Apprentice
1303,Sonic Screwdriver
1304,Russian Assassin
1305,Sensi Skunk
1306,LA Kookies
1307,Magic Beans OG
1308,Lemonhead OG
1309,Magellan
1310,Phone Home
1311,Flowerbomb Kush
1312,Desert Star
1313,Shark Attack
1314,Doctor Doctor
1315,The Wills
1316,Seattle Summer
1317,XXX 420
1318,Sour Breath
1319,Northern Skunk
1320,Haze Heaven
1321,Opium
1322,Thai Lights
1323,Sour Star Head
1324,Space Bomb
1325,Nukeheads
1326,OCA Gold
1327,OG 1 Kenobi
1328,OG Glue Sniffer
1329,Sugar Pine
1330,Bio Diesel
1331,Aliens on Moonshine
1332,Star Pupil
1333,La Nina
1334,Purple Headband
1335,Northern Cross
1336,Strawberry Blondie
1337,Kaua'i Electric
1338,Big Tooth
1339,Thunderbird Rose
1340,Strawberry Alien Kush
1341,Straight A's Haze
1342,Starman
1343,Urkle Train Haze
1344,Strawberry Snow Cone
1345,Supergirl
1346,Bacio Gelato
1347,OG Sour Diesel
1348,Orange Kush Breath
1349,Sweet Baby Jane
1350,Sweet Amnesia Haze
1351,Smooth Operator
1352,Hawaiian Cookies
1353,Caviar Gold
1354,Best Friend OG
1355,Strawberry Frost
1356,Orient Express
1357,Suicide Girl
1358,Cake Batter
1359,Blackberry Trainwreck
1360,Satori
1361,Puna Budder
1362,Dutch Queen
1363,Golden Soda
1364,Oil Spill
1365,Kill Bill
1366,Penelope
1367,Sunset
1368,Super Silver Lights
1369,The Real McCoy
1370,Sexxpot
1371,Exile
1372,Sumo's OG Kush
1373,Summer Breeze
1374,Sweet Pure CBD
1375,Sweet Harlem Diesel
1376,Diamond Socks
1377,Honey Buns
1378,Blue Boy
1379,Sweet Jesus
1380,Sun Ra
1381,Snowball
1382,Destroyer
1383,Tardis
1384,Money Pug
1385,Sour Willie
1386,Emperor Cookie Dough
1387,Super G
1388,Zeta Sage
1389,Gorilla Zkittlez
1390,Super Sour Lemon
1391,Astral Works
1392,Strawberry Blonde
1393,Heavy Duty Fruity
1394,Spyder Mon
1395,The Vision
1396,Captain Jack
1397,Green Gelato
1398,Sour Spyder
1399,Cherry Kiss
1400,Tar Monster
1401,Grapefruit Diesel
1402,Thai Fantasy
1403,The Big Dirty
1404,The Boss
1405,The Gift
1406,The Lime
1407,The Loops
1408,Tina
1409,Tonics Web
